idx,run,type,label1,sublabel1,label2,image,file,x,y,frequency-across-4runs,aspectratio
32,1,double,place,place,face,S38-E4158_03056.png,S38-E4158_03056.png,121,135,1,2
33,1,single,place,place,none,S39-E4166_01827.png,S39-E4166_01827.png,312,189,1,3
34,1,single,place,place,none,S40-E4187_02604.png,S40-E4187_02604.png,282,227,1,3
35,1,single,place,place,none,S40-E4208_02989.png,S40-E4208_02989.png,320,225,1,3
36,1,single,place,place,none,S38-E4157_02999.png,S38-E4157_02999.png,247,220,1,2
37,1,none,none,none,none,s005.png,s005.png,380,500,4,1
38,1,none,none,none,none,s006.png,s006.png,380,844,4,1
39,1,single,place,place,none,S34-E4033_02868.png,S34-E4033_02868.png,222,231,4,2
40,1,single,place,place,none,S40-E4208_03086.png,S40-E4208_03086.png,320,200,4,3
41,1,single,place,place,none,S40-E4209_01810.png,S40-E4209_01810.png,385,212,4,3
42,1,double,place,place,number,S39-E4166_01815.png,S39-E4166_01815.png,422,137,1,3
43,1,double,place,place,number,S40-E4187_00790.png,S40-E4187_00790.png,336,146,1,3
44,1,double,place,place,word,S31-E3876_01601.png,S31-E3876_01601.png,272,92,1,2
45,1,double,place,place,word,S46-E4620_00897.png,S46-E4620_00897.png,393,263,1,3
46,1,double,word,word,face,S45-E4509_01552.png,S45-E4509_01552.png,434,62,1,3
47,1,double,word,wordletter,face,S43-E4314_01193.png,S43-E4314_01193.png,428,230,1,3
48,1,single,word,wordletter,none,S47-E4713_00716.png,S47-E4713_00716.png,336,171,1,3
49,1,single,word,wordletter,none,S36-E4085_01107.png,S36-E4085_01107.png,249,102,1,2
50,1,single,word,wordletter,none,S35-E4074_00954.png,S35-E4074_00954.png,285,129,1,2
51,1,single,word,wordletter,none,S34-E4046_02058.png,S34-E4046_02058.png,267,175,1,2
52,1,none,none,none,none,s007.png,s007.png,610,150,4,1
53,1,none,none,none,none,s008.png,s008.png,610,500,4,1
