imagename,faces,places,words,letters,numbers
586,1,1,0,0,1
587,0,1,0,0,1
588,1,1,0,0,1
589,0,1,0,0,1
590,1,1,0,0,1
591,0,1,0,0,1
592,1,1,0,0,1
593,0,1,0,0,1
594,1,1,0,0,1
595,0,0,0,1,1
596,0,0,0,1,1
597,1,1,0,1,0
598,1,1,0,0,1
599,1,1,1,1,1
600,1,1,1,1,1
601,1,1,1,1,1
602,1,1,1,1,1
603,1,1,1,0,0
604,1,1,0,0,0
605,1,1,0,0,0
606,1,1,0,0,0
607,0,1,0,1,1
608,0,1,0,1,0
609,1,0,0,1,1
610,0,0,1,0,1
611,1,1,0,0,0
612,1,1,0,0,0
613,0,1,0,0,1
614,0,1,0,0,1
615,0,1,0,0,1
616,0,1,0,0,1
617,0,1,0,0,1
618,1,0,0,0,1
619,1,1,0,0,0
620,1,0,0,1,1
621,1,1,0,1,0
622,1,1,0,0,0
623,1,1,0,0,1
624,1,1,0,0,0
625,1,0,0,1,0
626,1,1,0,0,0
627,1,1,0,0,0
628,1,1,0,0,0
629,1,0,1,0,1
630,1,0,0,0,1
631,1,1,0,0,0
632,1,1,0,0,0
633,1,1,0,0,0
634,1,1,0,0,0
635,1,1,0,0,0
636,1,1,0,0,0
637,1,1,0,0,0
638,1,1,0,0,0
639,1,1,0,0,0
640,1,1,0,0,0
641,1,1,0,0,0
642,1,1,0,0,0
643,1,0,0,1,0
644,1,0,0,1,1
645,0,1,0,1,0
646,1,0,0,1,0
647,1,1,1,1,0
648,1,0,0,0,1
649,1,1,0,0,0
650,1,1,0,0,0
651,1,1,1,1,0
652,1,1,0,0,0
653,1,1,0,0,0
654,1,0,0,1,0
655,1,1,0,0,0
656,0,0,0,1,0
657,1,0,1,1,0
658,1,0,0,1,0
659,1,1,1,0,0
660,1,0,0,1,0
661,0,1,1,1,0
662,1,0,0,1,0
663,0,1,1,1,0
664,0,1,1,1,1
665,1,0,1,0,0
666,1,1,1,0,0
667,0,0,0,0,1
668,0,0,0,0,1
669,0,0,0,0,1
670,0,1,0,0,1
671,0,0,0,0,1
672,1,0,0,0,1
673,1,0,0,1,1
674,0,0,0,1,0
675,1,0,0,0,0
676,1,1,0,0,1
677,0,0,0,1,0
678,1,1,1,0,0
679,1,0,1,0,1
680,0,0,0,0,1
681,1,0,1,0,0
682,0,0,0,1,0
683,0,1,0,1,0
684,0,1,0,1,0
685,0,1,0,0,0
686,1,0,0,0,1
687,1,1,1,1,1
688,0,0,1,0,1
689,0,1,0,1,1
690,0,1,0,0,0
691,0,1,0,0,0
692,0,1,0,0,0
693,1,1,1,1,1
694,0,0,0,1,0
695,1,0,1,0,1
696,0,0,0,1,0
697,0,0,0,1,0
698,0,0,0,1,0
699,0,0,0,1,0
700,1,1,1,0,1
701,1,0,0,1,0
702,1,1,1,1,0
703,1,0,1,1,0
704,1,0,0,1,0
705,1,1,1,1,0
706,1,1,1,1,1
707,1,1,0,0,1
708,0,1,0,0,0
709,1,0,1,0,0
710,0,0,0,0,1
711,1,1,0,0,0
712,1,0,1,0,0
713,1,1,1,0,1
714,1,1,0,0,0
715,1,1,0,1,0
716,1,1,0,0,1
717,0,0,1,1,0
718,0,0,0,1,0
719,1,0,0,1,0
720,0,0,1,1,0
721,1,0,0,1,0
722,1,0,0,0,1
723,0,0,1,0,1
724,0,0,1,1,0
725,0,1,1,1,0
726,0,0,1,1,0
727,1,0,1,1,1
728,0,0,1,1,0
729,0,0,1,0,1
730,0,0,1,0,1
731,0,0,1,0,1
732,0,0,1,0,1
733,0,0,1,0,1
734,0,0,1,0,1
735,0,0,1,0,1
736,0,0,1,0,1
737,0,0,1,1,0
738,0,0,1,1,0
739,0,0,0,1,0
740,0,0,0,1,0
741,1,0,0,0,0
742,0,1,0,0,1
743,0,0,0,1,0
744,0,0,0,1,0
745,0,0,0,1,0
746,0,0,0,1,0
747,1,0,0,1,0
748,1,0,0,0,0
749,0,1,0,0,1
750,0,1,0,1,0
751,1,0,0,1,0
752,1,0,0,1,0
753,1,0,0,1,0
754,1,0,0,0,0
755,1,0,0,0,0
756,0,0,0,0,1
757,0,0,0,0,1
758,0,1,0,0,1
759,0,1,0,0,1
760,0,0,0,0,1
761,0,1,0,0,1
762,0,1,0,0,1
763,0,1,0,0,1
764,0,0,0,0,1
765,0,0,0,0,1
766,0,0,0,0,1
767,0,0,0,0,1
768,0,0,0,0,1
769,0,0,0,0,1
770,0,0,0,0,1
771,0,0,0,0,1
772,0,0,0,0,1
773,0,0,0,0,1
774,0,1,0,0,0
775,0,0,0,1,0
776,0,0,0,1,0
777,0,0,0,1,0
778,0,0,0,0,1
779,0,0,0,0,1
780,0,1,0,0,0
781,0,0,0,1,0
782,0,1,0,0,0
783,1,0,0,0,1
784,1,0,0,0,0
785,0,1,0,0,0
786,0,1,0,0,0
787,0,0,0,0,1
788,0,1,0,1,0
789,1,1,1,0,0
790,0,1,1,0,0
791,1,1,0,0,0
792,1,0,0,0,0
793,0,0,1,1,0
794,0,0,1,1,0
795,0,0,0,1,0
796,0,0,0,1,0
797,1,0,0,1,0
798,0,1,0,1,0
799,0,1,0,1,0
800,0,0,1,1,0
801,1,0,0,0,1
802,0,0,0,0,1
803,0,1,0,0,1
804,0,1,0,0,0
805,1,0,0,0,1
806,0,0,0,1,0
807,0,0,0,1,0
808,1,0,1,0,0
809,1,0,0,1,0
810,0,0,1,1,1
811,1,0,1,0,0
812,0,0,1,0,1
813,0,0,0,0,1
814,1,0,1,0,1
815,0,1,1,0,0
816,0,0,1,0,1
817,0,1,1,0,1
818,0,1,0,1,1
819,0,0,1,0,0
820,0,0,0,0,1
821,0,0,1,0,0
822,0,1,0,0,0
823,0,0,1,0,1
824,0,1,1,0,0
825,0,0,1,1,0
826,1,0,1,1,0
827,0,1,0,0,0
828,1,1,1,1,0
829,1,1,0,1,0
830,0,0,0,1,0
831,0,0,0,1,0
832,0,0,0,0,1
833,1,0,0,0,1
834,0,0,0,0,1
835,0,0,1,0,0
836,1,1,0,0,0
837,0,1,0,0,0
838,0,1,0,0,0
839,1,0,1,0,1
840,1,1,0,0,0
841,1,1,0,0,0
842,0,0,0,1,0
843,0,0,0,1,0
844,0,1,0,1,0
845,0,1,0,1,0
846,0,0,0,0,1
847,0,0,0,0,1
848,0,1,0,0,0
849,1,0,1,1,0
850,0,0,0,0,1
851,0,0,0,0,1
852,0,0,0,0,1
853,0,1,0,0,1
854,0,1,0,1,0
855,0,0,1,0,1
856,0,0,0,1,0
857,0,0,0,1,0
858,0,0,0,1,0
859,0,0,0,0,1
860,0,0,0,0,1
861,0,0,0,0,1
862,0,0,0,0,1
863,0,0,1,1,0
864,1,0,1,1,1
865,1,0,0,0,1
866,0,0,0,1,0
867,0,0,0,0,1
868,1,0,1,1,0
869,1,0,1,1,1
870,1,0,0,1,1
871,0,0,0,1,0
872,0,0,0,1,0
